운동명,운동 정보,운동 소개,운동 절차,운동 팁,썸네일 링크,유튜브 링크
Decline Sit Up,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Set the decline bench to an angle of between 30 and 45 degrees (the more than angle, the harder the situps will be) Sit on the bench with your legs resting through the pads Cross your arms across your chest and lean back until your back almost touches the bench Raise yourself back up until your upper body is vertical, then lower again ​Sit Up ",Don't go tot far down or up Your back should never touch the bench and you only need to pull up until your upper body is vertical You can add a twist to work your obliques harder if you like Hold a weight plate or dumbbell in your arms for added resistance and intensity  ,https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/declinesitup1.jpg?itok=I6qO2p5I,
Abdominal Barbell Rollouts,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Barbell"",""mechanics"":""Compound"",""forceType"":""N/A"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""Shoulders ""}",,"Kneel on the floor/mat and grasp the barbell with a wider than shoulder width grip You should have 5-10 lb plates loaded on each side of the barbell  Keeping your back and arms straight, slowly roll the barbell out in front of you until your arms are fully extended Tense the abs and slowly roll the barbell back towards your knees ​Ab Rollout ","Keep your arms and back straight at all times Do the exercise slowly, and concentrate on using your abdominal muscles to pull the barbell back towards you For extra intensity barbell rollouts can be done standing ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/barbellrollouts1.jpg?itok=aFnmF293,
Twisting Hanging Knee Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Pull"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""Forearms ""}",,"The twisting hanging knee raise hits the lower abs and obliques You can hang off literally anything that will hold your weight for this exercise Most people will hang from a pull up bar Hang off the with a slightly wider than shoulder width grip Once you're hanging with your feet slightly off the floor, pull your knees up and across to the left side of your body Pause, then slowly lower them back down Now raise your knees up and across to the right hand side of your body Lower back to start position This is one rep Repeat for desired reps ​Exercise ","Hold at the top of the movement (with your knees up) to increase the intensity of the twisting knee raise Advanced athletes can add weight by holding a dumbbell between the feet ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/twistinghangingkneeraise1.jpg?itok=UX7nxYTD,
Abdominal Air Bike (AKA Bicycle),"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The abdominal air bike is probably the most feared abdominal movement from anyone who’s performed an at-home ab workout video.
The bicycle exercise targets the whole abdomen and places constant tension on the mid-section as you go through the motions on both sides.
This exercise is an advanced variation of a crunch.
It can be performed for timed sets or as a set with a fixed rep range.
","Lay supine in a relaxed position with your arms behind your head and legs straight Exhale as you raise one knee towards your face while driving the opposite elbow to the knee Once your abs are fully contracted, slowly lower yourself back to the starting position and repeat on the opposite side Complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/ab-bicycle.jpg,https://www.youtube.com/embed/vV_sKNCpiVM?rel=0
Exercise Ball Crunch,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Exercise Ball"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""None ""}",,"The exercise ball crunch is a great all round ab exercise Lower back support makes it ideal for those with lower back problems/injuries Sit on the exercise ball with your feet flat on the floor wider than shoulder with apart Step forward with your feet allowing the exercise ball to roll back to your lower back Touch the side of your head with the tips of your fingers This is the start position Crunching your abs, pull your torso up so your elbows are aiming for your knees Squeeze the abs tight and pause  Then lower back to the start position Repeat for desired reps ​Exercise ","The longer you hold the crunch the harder your ab muscles have to work Increase the effectiveness of this exercise by holding the crunch for a slow count of 2 ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/swissballcrunch1.jpg?itok=W6TaYnM8,
Russian Twist,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Set up for the Russian Twist by getting a mat and laying down on your back Pull your knees up so that your calves are at a right angle to your thighs Put one hand over the other, palms facing your feet and point towards the ceiling To begin the set, raise your shoulder blades off the mat Twisting at your torso, roll your hands over to the left and back to the right Lower your shoulder blades back down to the mat Repeat the whole movement for the required reps ​Exercise ","The higher you lift your shoulder blades off the mat, the harder the exercise becomes For an advanced alternative to the Russian Twist, hold a dumbbell in your hands ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/russiantwist1.jpg?itok=LtD1mrCP,
Sit Up,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The sit up is a classic abdominal exercise.
It’s rarely performed anymore, however, it’s still a very effective flexion based exercise for those looking to utilize it to target their core.
There are some risks involved in performing the sit up as opposed to crunches (or stability ball crunches). The primary one being the common complaint of lower back pain.
One can perform sit ups as part of their ab workout or full body workout.
","Lay supine in a relaxed position with your knees up and hands across your chest Exhale and squeeze your abs as you curl your upper body off the floor Once your torso is perpendicular to the floor, slowly lower yourself back to the starting position Complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/sit-up_0.jpg,https://www.youtube.com/embed/MQDopvLZOS8?rel=0
Floor Crunch (legs on bench),"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Set up for the floor crunch by laying a mat down on the floor and positioning a flat bench at the end of the mat to form a T shape Lay down on the mat and put your legs up on the bench Your calves should be resting on the top of the bench and your legs should be bent at right angles Touch the side of your head with your fingertips (do not put your arms behind your neck!) Lift your shoulder blades slightly off the mat to start the exercise, then crunch your abs bringing your elbows in towards your waist Pause for 1 second at the top, and slowly lower back down to the start position Crunch ","Keep your shoulder blades just off the mat for the entire set Pause for longer at the top of the movement to add extra intensity ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/floorcrunchfeetonbench1.jpg?itok=P1emW6WQ,
Rotating Mountain Climber,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Isometric"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""None ""}","The rotating mountain climber is a variation of the mountain climber and an exercise used to target the muscles of the core.
The rotating mountain climber stems from the plank exercise family tree and works the core through stability (maintaining a neutral spine) and flexion (driving the knee towards the elbow).
The rotating mountain climber will incorporate the obliques to a greater extent than the traditional variation of the exercise.
","Assume a plank pushup position with your hands underneath your shoulders Drive one knee towards the opposing elbow until the hip reaches 90 degrees of flexion Slowly return to the starting position and repeat for the desired number of repetitions ","Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability  Learn how to move while maintaining position without having to rely upon your breath Move slowly but methodically  The goal is control within space, not simply completion of repetitions Exhale as you drive the knee up Ensure that you don’t lift the knee too high  If the pelvis tucks under or you lose control of a neutral spine then you’ve moved too far ",https://cdn.muscleandstrength.com/sites/default/files/rotating-mountain-climber.jpg,https://www.youtube.com/embed/5ZL0gFRjCTw?rel=0
Hanging Knee Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Pull"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""Forearms ""}",,"The hanging knee raise hits your lower abs You can hang from literally anything to do this exercise, but the most popular method using hanging from a pull up bar Grip the bar with hands around shoulder width apart Increase the width if you're tall and your feet touch the floor Once you're hanging with your feet slightly off the floor, slowly pull your knees up keeping your legs together Pause for a second, and slowly lower your knees back to the starting position Repeat for desired reps Knee Raise ","You must do this exercise slowly  If you want to get the most benefit out of the hanging knee raise, slow it down As you become more advanced, you can place a dumbbell between your feet Avoid swinging your body, keeping your torso as still as possible  ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/hangingkneeraise1.jpg?itok=AllhG8ki,
Standing Stomach Vacuum,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Intermediate"",""secondaryMuscles"":""None ""}","The standing stomach vacuum is a bodyweight core exercise that can be done from anywhere.
It is a standing variation of the plank that is used to isolate the abdominal muscles for a focused contraction.
","In a standing position, place your hands overhead or on your sides and exhale all of the air from your lungs Once you’ve completely exhaled, think about trying to draw your belly button to your spine Hold for the desired amount of time and then repeat for assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection ",https://cdn.muscleandstrength.com/sites/default/files/standing-stomach-vacuum.jpg,https://www.youtube.com/embed/ODOHve6b8q8?rel=0
Lying Floor Knee Tuck,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The lying floor knee tuck is a variation of the abdominal crunch and an exercise used to isolate the muscles of the abdomen.
The lying floor knee tuck is a flexion based exercise which keeps the lower abdominal muscles under constant tension during the entire range of motion.
","Lay supine in a relaxed position with your legs straight and your hands underneath your low back for support Raise the knees toward your forehead while contracting your abdominals and exhaling Once your abs are fully contracted and your knees are slightly above parallel, slowly lower your legs back to the starting position Complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/lying-floor-knee-tuck.jpg,https://www.youtube.com/embed/V95h0UX8UyI?rel=0
Alternate Straight Leg Lower,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Isometric"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The alternating straight leg lower is an exercise used to strengthen the muscles of the abs.
The alternating straight leg lower utilizing a slow eccentric to place tension on the core as you fight to stabilize your body during the range of motion.
It is an anti-extension based ab exercise.
","Setup in a supine position with your legs straight, hips flexed, and arms by your sides Slowly lower one leg as you exhale and maintain the position of hip flexion on the other side Return back to the starting position and repeat on the opposite side Repeat for the desired number of total repetitions ","Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability  Learn how to move while maintaining position without having to rely upon your breath Use your breath to drive abdominal activation, exhale as you lower the leg Move slowly but methodically  The goal is control within space, not simply completion of repetitions The heel doesn’t have to touch the floor  In fact, in most cases it will actually generate compensations if someone is missing end range hip extension If you find that you can’t keep the position of hip flexion on the non working leg, then wrap a band around your foot and pull down gently on the band with your hands  This will help to enhance motor control during the completion of repetitions ",https://cdn.muscleandstrength.com/sites/default/files/alternate-straight-leg-lower.jpg,https://www.youtube.com/embed/eiF6KbbXfb8?rel=0
Bench Jack Knife,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"Lay down on your back on a flat bench with your legs hanging off one end Extend your arms out above your head, and straighten your legs You should be laying completely flat This is the start of the exercise In one motion, while keeping your hands and feet together, raise your legs and bring your arms forward as if you were trying to touch them together Lower back to the starting position Repeat for desired reps Jackknife ","This is a very challenging exercise  The slower you do it the harder it is, and the more benefit you will get from it  Your legs should be approximately 35-45 degrees from the floor Your arms should be extended and parallel to your legs at the top of the movement  ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/benchjackknife1.jpg?itok=17tQRupd,
Plank to Hip Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Compound"",""forceType"":""Isometric"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The plank to hip raise is a variation of the plank exercise and an exercise used to strengthen the abdominal muscles.
The plank to hip raise works the abs through a few different force types. The first is obviously through isometrics while performing the plank.
Then, it shifts to a pull movement as you contract the abs to pike your hips.
","Assume a kneeling position with your elbows resting slightly above your head on the floor Extend each leg and maintain a hip width stance Push your elbows into the floor and pike your hips Lower your hips back to the starting position and repeat for the desired number of repetitions ","Move slowly but methodically  The goal is control within space, not simply completion of repetitions If you struggle to get your arms overhead and your hips piked then examine your thoracic extension and look to improve it via soft tissues strategies found on the site Press your elbows into the floor to help engage your serratus anterior  Your upper back should be filled out and there shouldn’t be an indention between your shoulder blades Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability  Learn how to move while maintaining position without having to rely upon your breath ",https://cdn.muscleandstrength.com/sites/default/files/plank-to-hip-raise.jpg,https://www.youtube.com/embed/9Wd3xH6-QYw?rel=0
Pallof Press,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Cable"",""mechanics"":""Compound"",""forceType"":""Isometric"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The Pallof press is an exercise commonly used to strengthen the muscles of the abs and obliques.
It works the core by providing isometric tension while you move a weight through a brief range of motion.
It’s an extremely versatile exercises which has had many variations stem from it to challenge the core in many different ways and to help accomplish different goals.
If you have a goal of increasing core strength, the pallof press should be a staple in your core workouts.
","Assume a standing position and attach a handle to a cable stack at chest height Hold the handle to your chest and assume an athletic base position with your feet slightly wider than shoulder width apart Press the handle horizontally to extension as you exhale Return to the starting position and repeat for the desired number of repetitions on both sides ","Don’t allow the hips to rotate as you press the handle to extension Ensure that you exhale as you press to use the breath to drive more abdominal activation If you find you can’t maintain a neutral spinal position during this variation, regress to a supine version and then progress into a half kneeling and tall kneeling version once you gain the requisite lumbo-pelvic control Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability  Learn how to move while maintaining position without having to rely upon your breath ",https://cdn.muscleandstrength.com/sites/default/files/pallof-press.jpg,https://www.youtube.com/embed/SFJprbDnaS0?rel=0
Straight Leg Toe Touch (Floor Toe Reach),"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""Pull (Bilateral)"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}","The straight leg toe touch is a variation of the abdominal crunch and an exercise used to isolate the muscles of the abdomen.
The straight leg toe touch keeps constant tension on the lower abs as you go through flexion with the top portion of your abs.
","Lay supine in a relaxed position with your arms and legs straight Raise your legs straight until they are perpendicular with the floor Exhale as you reach straight up towards your toes Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position Complete for the assigned number of repetitions ","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements Avoid putting the hands behind the head as this can lead to excess strain upon the neck ",https://cdn.muscleandstrength.com/sites/default/files/straight-leg-toe-touch-1.jpg,https://www.youtube.com/embed/yjfLpiFyGxs?rel=0
Lying Bench Leg Raise,"{""targetMuscleGroup"":""Abs"",""exerciseType"":""Strength"",""equipmentRequired"":""Bodyweight"",""mechanics"":""Isolation"",""forceType"":""N/A"",""experienceLevel"":""Beginner"",""secondaryMuscles"":""None ""}",,"The lying bench leg raise hits your lower abdominal muscles Set up for the exercise by getting a flat bench and positioning it to give enough room for your legs to extend out over one end Sit on the bench with your buttocks close to one end and lay back Grasp the bench at head height for stability Extend your legs straight out level with your body, keeping your knees and feet together This is the starting position for the movement Bending at the hips only, slowly raise your legs up until they are pointing straight up Do not pause, and immediately slowly lower your legs back to the starting position Repeat for desired reps ​Leg Raise ","Do not swing your legs  Use your abs to move your legs and not momentum Keep your legs and knees together, and don't let your feet drop below the height of the bench ",https://cdn.muscleandstrength.com/sites/default/files/styles/400x250/public/field/image/exercise/lyingbenchlegraise1.jpg?itok=4qcDfnqD,
